    40 135
    1 2	167
    1 3 158
    2 1 167
    2 3 317
    2 4 94
    2 5 158
    3 1 158
    3 2 317
    3 8 556
    3 9 459
    4 2 94
    4 5 121
    5 2 158
    5 4 121
    5 6 190
    5 7 216
    5 8 559
    5 9 662
    6 5 190
    6 10 167
    6 11 469
    7 5 216
    8 3 556
    8 5 559
    8 9 202
    8 25 440
    8 39 75
    9 3 459
    9 5 662
    9 8 202
    9 11 391
    9 16 279 
    10 6 167
    10 11 402
    11 6 469
    11 9 391
    11 10 402
    11 12 310
    11 13 225
    11 15 198
    11 16 421
    11 38 33
    12 11 310
    13 11 225
    13 14 68
    13 15 312
    13 19 425
    13 20 256
    14 13 68
    15 11 198
    15 13 312
    15 16 419
    15 18 289
    15 20 51
    15 22 182
    16 9 279
    16 11 421
    16 15 419
    16 17 219
    16 18 162
    16 25 475
    17 16 219
    17 18 336
    17 24 251
    17 25 364
    17 26 966
    18 15 289
    18 16 162
    18 17 336
    18 22 187 
    18 23 229
    18 24 114
    19 13 425
    19 21 180
    19 22 263
    19 23 365
    19 32 140
    20 13 256
    20 15 51
    20 21 49
    20 22 120
    21 19 180 
    21 20 49
    21 22 84
    22 15 182
    22 18 187
    22 19 263
    22 20 120
    22 21 84
    22 23 204
    23 18 229
    23 19 365
    23 22 204
    23 24 403
    23 30 238
    23 31 322
    23 32 276
    24 17 251
    24 18 114
    24 23 403
    24 26 852
    24 29 283
    24 30 638
    24 37 51
    25 8 440
    25 16 475
    25 17 364
    25 28 126
    26 17 996
    26 24 852
    27 27 0
    28 25 126
    29 24 283
    29 36 179
    30 23 238
    30 24 638
    30 31 257
    30 35 153
    31 23 322
    31 30 257
    31 32 282
    31 33 145
    32 19 140
    32 23 276
    32 31 282
    32 33 145
    33 31 145
    33 32 145
    33 34 273
    34 33 273
    35 30 153
    36 29 179
    37 24 51
    38 11 33
    39 8 75
    40 40 0
